NAME                                 	CHART VERSION	APP VERSION                 	DESCRIPTION                                                 
stable/kapacitor                     	1.1.1        	1.5.2                       	InfluxDB's native data processing engine. It can process ...
stable/karma                         	1.1.10       	v0.22                       	A Helm chart for Karma - an UI for Prometheus Alertmanager  
stable/katafygio                     	0.4.0        	0.7.1                       	Continuously backup Kubernetes objets as YAML files in git  
stable/keycloak                      	4.3.0        	4.8.3.Final                 	Open Source Identity and Access Management For Modern App...
stable/kiam                          	2.0.1-rc6    	3.0-rc1                     	Integrate AWS IAM with Kubernetes                           
stable/kong                          	0.9.2        	1.0.2                       	The Cloud-Native Ingress and Service Mesh for APIs and Mi...
stable/kube-hunter                   	1.0.1        	34                          	A Helm chart for Kube-hunter                                
stable/kube-ops-view                 	0.7.0        	0.9                         	Kubernetes Operational View - read-only system dashboard ...
stable/kube-slack                    	0.4.0        	v3.6.0                      	Chart for kube-slack, a monitoring service for Kubernetes   
stable/kube-state-metrics            	0.13.0       	1.4.0                       	Install kube-state-metrics to generate and expose cluster...
stable/kube2iam                      	0.10.0       	0.10.4                      	Provide IAM credentials to pods based on annotations.       
stable/kuberhealthy                  	0.1.2        	0.1.1                       	The official Helm chart for Kuberhealthy.                   
stable/kubernetes-dashboard          	1.2.0        	1.10.1                      	General-purpose web UI for Kubernetes clusters              
stable/kuberos                       	0.2.0        	2018-07-03                  	An OIDC authentication helper for Kubernetes                
stable/kubewatch                     	0.6.1        	0.0.4                       	Kubewatch notifies your slack rooms when changes to your ...
stable/kured                         	1.1.0        	1.1.0                       	A Helm chart for kured                                      
stable/lamp                          	1.0.0        	7                           	Modular and transparent LAMP stack chart supporting PHP-F...
stable/linkerd                       	0.4.1        	1.1.2                       	Service mesh for cloud native apps                          
stable/locust                        	0.3.0        	0.7.5                       	A modern load testing framework                             
stable/logstash                      	1.5.0        	6.6.0                       	Logstash is an open source, server-side data processing p...
stable/luigi                         	2.7.4        	2.7.2                       	Luigi is a Python module that helps you build complex pip...
stable/magento                       	4.1.4        	2.3.0                       	A feature-rich flexible e-commerce solution. It includes ...
stable/mailhog                       	2.3.0        	1.0.0                       	An e-mail testing tool for developers                       
stable/mariadb                       	5.5.0        	10.1.37                     	Fast, reliable, scalable, and easy to use open-source rel...
stable/mattermost-team-edition       	2.2.0        	5.7.0                       	Mattermost Team Edition server.                             
stable/mcrouter                      	0.1.1        	0.36.0                      	Mcrouter is a memcached protocol router for scaling memca...
stable/mediawiki                     	6.0.2        	1.32.0                      	Extremely powerful, scalable software and a feature-rich ...
stable/memcached                     	2.5.0        	1.5.6                       	Free & open source, high-performance, distributed memory ...
stable/metabase                      	0.4.4        	v0.30.1                     	The easy, open source way for everyone in your company to...
stable/metallb                       	0.8.4        	0.7.3                       	MetalLB is a load-balancer implementation for bare metal ...
stable/metricbeat                    	1.0.0        	6.6.0                       	A Helm chart to collect Kubernetes logs with metricbeat     
stable/metrics-server                	2.2.0        	0.3.1                       	Metrics Server is a cluster-wide aggregator of resource u...
stable/minecraft                     	0.3.2        	1.13.1                      	Minecraft server                                            
stable/minio                         	2.4.1        	RELEASE.2019-01-16T21-44-08Z	Minio is a high performance distributed object storage se...
stable/mongodb                       	5.3.0        	4.0.3                       	NoSQL document-oriented database that stores JSON-like do...
stable/moodle                        	4.0.4        	3.6.2                       	Moodle is a learning platform designed to provide educato...
stable/msoms                         	0.2.0        	1.0.0-30                    	A chart for deploying omsagent as a daemonset Kubernetes    
stable/mssql-linux                   	0.6.5        	14.0.3023.8                 	SQL Server 2017 Linux Helm Chart                            
stable/mysql                         	0.14.0       	5.7.14                      	Fast, reliable, scalable, and easy to use open-source rel...
